link,title,description
https://skarnet.org/software/execline/,"execline: a non-interactive scripting language","An alternative to shell scripting that avoids all the pitfalls of sh by using a chain-loading model. Fascinating read on Unix process semantics and minimal-tool philosophy."
https://craftinginterpreters.com/,Crafting Interpreters,"Robert Nystrom's free book walks through building two complete interpreters from scratch — a tree-walk interpreter in Java and a bytecode VM in C. One of the best practical programming books written."
https://nullprogram.com/blog/2023/02/11/,Beating the Beckett test in 60 lines of C,"Chris Wellons demonstrates how to write a branchless UTF-8 decoder in C. Dense and instructive: a masterclass in bit manipulation and portable C."
https://www.cs.yale.edu/homes/aspnes/classes/223/notes.html,Notes on Data Structures and Programming Techniques,"James Aspnes's Yale course notes — a thorough, freely available reference covering C, algorithms, and data structures with clear prose and worked examples."
"https://www.jernesto.com/articles/thinking_hard","Thinking Hard with AI",""
"https://www.youtube.com/watch?v=bbNypypN2Gw","Inutilità CAPTCHA e Bypass",""
"https://antonz.org/defer-in-c/","(Un)portable defer in C",""
"https://alexzhang13.github.io/blog/2025/rlm/","Recursive Language Models",""
"https://www.quantamagazine.org/new-method-is-the-fastest-way-to-find-the-best-routes-20250806/","Nuovo Algoritmo Post-Dijkstra: Fastest Route Finding",""
"https://karpathy.github.io/2026/02/12/microgpt/","MicroGPT",""
"https://dacav.org/projects/supercazzola/","Superscazzola Anti-Scraper",""
"https://thelocalstack.eu/posts/linkedin-identity-verification-privacy/","Deep Dive into LinkedIn Identity Verification & Privacy",""
"https://turbopuffer.com/blog/object-storage-queue","Node Process Queue.json in Object Storage",""
"https://xlinux.nist.gov/dads/","Dictionary of Algorithms and Data Structures (NIST)",""
"https://arxiv.org/pdf/2412.16398","CRC as Polynomial Division","Gemini discussion: https://gemini.google.com/gem/34a9a1bd4364/956378755c9685d2"
https://pyrefly.org/blog/container-inference-comparison/,"Python Type Checker Comparison: Empty Container Inference","https://gemini.google.com/gem/70802cd062d9/862b9d7c9f2d0d84"
https://www.tomshardware.com/tech-industry/cyber-security/researchers-discover-massive-wi-fi-vulnerability-affecting-multiple-access-points-airsnitch-lets-attackers-on-the-same-network-intercept-data-and-launch-machine-in-the-middle-attacks,"Airsnitch Wi-Fi Vulnerability","https://gemini.google.com/gem/70802cd062d9/e2193bcb785f4f48"
https://binaryigor.com/json-documents-mongodb-vs-postgresql.html,"JSON Documents Performance: MongoDB vs PostgreSQL","https://gemini.google.com/gem/70802cd062d9/68e663ccb6bf6159"
"https://spinroot.com/gerard/pdf/P10.pdf","NASA 10 Rules for Developers","Gemini discussion: https://gemini.google.com/gem/34a9a1bd4364/2a6fc15b919c10e0"
https://offlinemark.com/an-obscure-quirk-of-proc/,"Bypass Linux Memory Protection (proc/*/mem)","https://gemini.google.com/gem/70802cd062d9/be26185e1756dc99"
https://v8.dev/blog/pointer-compression,"V8 Pointer Compression (JavaScript)","https://gemini.google.com/gem/34a9a1bd4364/4d5de9efd60202ed"
"https://gemini.google.com/gem/70802cd062d9/fa61c27e2584c8ac","Netflix JDK Vector API (RecSys and Low Level)",""
"https://seg6.space/posts/software-protection-system/","Building a Software Protection System",""
"https://www.gingerbill.org/article/2019/02/15/memory-allocation-strategies-003/","Memory Allocation Strategies","Gemini resume: https://gemini.google.com/gem/70802cd062d9/e24bfdb5f807f8a2"
"https://gemini.google.com/share/e66918b4e573","Monads as Collateral Effect Containers",""
"https://www.quantamagazine.org/the-math-that-explains-why-bell-curves-are-everywhere-20260316/","Bells: The Math Behind Bell Curves Everywhere (Statistics)",""
"https://www.sophielwang.com/blog/jpeg","JPEG Algorithm","Gemini discussion: https://gemini.google.com/share/74e3866759ab"
"https://hackaday.com/2026/03/09/secure-communication-buried-in-a-news-app/","CoverDrop: Network Steganography in a News App","Gemini discussion: https://gemini.google.com/share/c6da0f7d56b6"
"https://gemini.google.com/share/continue/9624b29fe94c","Muratori–ThePrimeagen Discussion",""
